TABLE S1,,HELP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b_d,"base_distance
b_d = ∥p#5) - p(#17)∥  for hand",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,f_cun,f_cun= 1/3 * b_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,t_d,Total_distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p_?,coordinates of acupoint name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p (# $?),coordinates of keypoint number $? from MediaPipe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"p($fraction_{$1,$2})",coordinates for fraction distance between points $1 and $2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"p(mid_{$1,$2})",coordinates for middle between points $1 and $2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"d⊥(p$1, p$2, p$3, distance)",Perpendicular distance from the point $3 that is between  points $1 and $2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,||.||,the norm (magnitude) of a vector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,*, scalar-vector multiplication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p(#?)_x,Represents the coordinates along the x-axis only,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p(#?)_y,Represents the coordinates along the y-axis only,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/,devision,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI-4,Wangu,Small Intestine,"On the posteromedial aspect of the wrist, inthe depression between the base of the fifthmetacarpal bone and the triquetrum bone,at the border between the red and whiteflesh.","Local point for shoulder, arm, hand and wrist problems particularly along the course of the meridian.
Useful point to treat problems with all fingers - contracture, pain, swelling, stiffness.
Headache, neck pain.
Jaundice.","p_SI4=p(1/15_{#0,#17})","p_SI4=p(1/15_{#0,#17})",,,,,,,,,,,,,,,,,,,,,,,,,
TE-1,Guanchong,Triple Energizer,"On the ring finger, ulnar to the distalphalanx, 0.1 f-cun proximal to the ulnarcorner of the fingernail, at the intersectionof the vertical line of the ulnar side of thenail and the horizontal line of the base ofthe fingernail.","Ear Problems of any etiology such as excess tinnitus
Distal point for temporal headaches, shoulder a/or upper back pain, pain a/or inflammation in the throat.","p_TE1= d⊥(p(#15), p(#16), p(2/3_{#15,#16}), -1/4 *f_cun)","p_TE1= d⊥(p(#15), p(#16), p(2/3_{#15,#16}), -1/4 *f_cun)",,,,,,,,,,,,,,,,,,,,,,,,,
TE-2,Yemen,Triple Energizer,"On the dorsum of the hand, in the depression superior to the web margin betweenthe ring and little fingers, at the borderbetween the red and white flesh.","Ear Problems of any etiology such as excess tinnitus
Distal point for temporal headaches, shoulder a/or upper back pain, pain a/or inflammation in the throat."," p_TE2= p(mid_{p(1/3_{#13, #14}), p(1/3_{#17,#18})","p_TE2=  p(mid_{p(1/3_{#13, #14}), p(1/3_{#17,#18})",,,,,,,,,,,,,,,,,,,,,,,,,
TE-3,Zhongzhu,Triple Energizer,"On the dorsum of the hand, between the fourth and fifth metacarpal bones, in the depression proximal to the fourth metacarpophalangeal joint.","Ear Problems of any etiology such as excess tinnitus
Distal point for temporal headaches, shoulder a/or upper back pain, pain a/or inflammation in the throat.","t_d = ∥p(mid_#13, #17) - p(#0)∥
p_TE3= p(mid_{#13, #17} +(p(#0)  - p(mid_{#13, #17}) * 1/3*(b_d/t_d)","t_d = ∥p(mid_#13, #17) - p(#0)∥
p_TE3= p(mid_{#13, #17} +(p(#0)  - p(mid_{#13, #17}) * 1/3*(b_d/t_d)",,,,,,,,,,,,,,,,,,,,,,,,,
TE-4,Yangchi,Triple Energizer,"On the posterior aspect of the wrist, in the depression ulnar to the extensor digitorum tendon, on the dorsal wrist crease.","Dorsal wrist issues such as strains, sprains or subluxations.
Wasting & thirsting disorder, regulates water metabolism, alleviates dry mouth a/or thirst.
Moxa to tonify the Yang of the body","p_TE4=p(5/4_{#1,#0})","p_TE4=p(5/4_{#1,#0})",,,,,,,,,,,,,,,,,,,,,,,,,
Refrence: Who standard Acupuncture point locations In the western pacific region,,,,Reference: the Yin Yang House Website,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refrence: Who standard Acupuncture point locations In the western pacific region,,,,https://yinyanghouse.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
"전국한의과대학.한의학전문대학원 경락경혈학 교재편찬위원회. 경혈학 (THE Acupoints of Acupuncture); 도서출판 정담: Republic of Korea, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,



























﻿Acupoint,Full Name,Meridian,,Acupoint,Full Name,Meridian

Face,,,,Hand,,
CV-24,Chengjiang,Conception Vessel,,HT-7,Shenmen,Heart
BL-1,Jingming,Bladder,,HT-8,Shaofu,Heart
BL-2,Cuanzhu,Bladder,,HT-9,Shaochong,Heart
GB-1,Tongziliao,Gallbladder,,LI-1,Shangyang,Large Intestine
GB-2,Tinghui,Gallbladder,,LI-2,Erjian,Large Intestine
GB-14,Yangbai,Gallbladder,,LI-3,Sanjian,Large Intestine
GV-25,Suliao,Governing Vessel,,LI-4,Hegu,Large Intestine
GV-26,Shuigou,Governing Vessel,,LU-11,Shaoshang,Lung
GV-27,Duiduan,Governing Vessel,,LU-9,Taiyuan,Lung
LI-19,Kouheliao,Large Intestine,,PC-9,Zhongchong,Pericardium
LI-20,Yingxiang,Large Intestine,,SI-1,Shaoze,Small Intestine
SI-18,Quanliao,Small Intestine,,SI-2,Qiangu,Small Intestine
ST-1,Chengqi,Stomach,,SI-3,Houxi,Small Intestine
ST-2,Sibai,Stomach,,SI-4,Wangu,Small Intestine
ST-3,Juliao,Stomach,,TE-1,Guanchong,Triple Energizer
ST-4,Dicang,Stomach,,TE-2,Yemen,Triple Energizer
ST-5,Daying,Stomach,,TE-3,Zhongzhu,Triple Energizer
ST-6,Jiache,Stomach,,TE-4,Yangchi,Triple Energizer
ST-7,Xiaguan,Stomach,,,,
TE-23,Sizhukong,Triple Energizer,,,,
