                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.91079,                 2.2652,                0.13628,                0.56541,                 1.3562,                0.74041,                 0.7405,                 0.5973,                0.14924,                0.98006,                0.98017,                0.96861,                0.52351,                 2.8365,                 1.7003,                0.06284,                0.86616,                  3.657,              0.0089928,              0.0089928,              0.0089928
                     65,                0.91782,                 2.3072,                0.13913,                0.56156,                 1.3581,                0.81809,                0.81818,                  0.786,                0.24351,                0.98171,                0.98182,                0.97916,                0.55377,                  2.615,                 1.7788,                0.06631,                 0.8187,                  3.325,              0.0089613,              0.0089613,              0.0089613
                     66,                   0.91,                 2.2597,                 0.1352,                0.56079,                  1.349,                0.81146,                0.81157,                 0.7492,                0.23164,                0.98499,                0.98512,                0.98107,                0.57871,                 2.7014,                 1.6797,                0.06399,                0.73719,                 3.5325,              0.0089293,              0.0089293,              0.0089293
                     67,                0.91317,                 2.2196,                0.13755,                0.55628,                 1.3588,                0.79164,                0.79174,                0.74286,                0.22648,                0.97839,                0.97851,                0.96985,                0.56139,                 2.7999,                 1.7009,                0.06203,                0.82018,                 3.8239,              0.0088969,              0.0088969,              0.0088969
                     68,                0.89593,                  2.195,                0.13318,                0.54954,                 1.3446,                0.79824,                0.79835,                0.75497,                0.25603,                 0.9883,                0.98843,                0.98517,                0.57626,                 2.6982,                 1.7158,                0.07556,                0.82657,                 3.6082,               0.008864,               0.008864,               0.008864
                     69,                0.91334,                 2.2561,                 0.1346,                0.55937,                 1.3577,                0.78999,                0.79008,                0.71687,                 0.2257,                 0.9817,                0.98182,                0.97756,                0.53754,                 2.6945,                 1.7579,                0.07943,                0.76376,                 3.6908,              0.0088308,              0.0088308,              0.0088308
                     70,                0.89973,                 2.1949,                0.13356,                 0.5537,                 1.3479,                0.83937,                0.83967,                0.78184,                0.22903,                0.93521,                0.93554,                 0.9006,                0.46348,                 2.6077,                  2.532,                0.84264,                0.78576,                 3.4588,              0.0087971,              0.0087971,              0.0087971
                     71,                0.89675,                 2.1983,                0.13254,                0.55388,                  1.348,                0.81147,                0.81157,                0.71146,                0.19577,                 0.9817,                0.98182,                0.96965,                0.52494,                 2.5699,                 1.6395,                 0.0477,                0.77538,                 3.2414,               0.008763,               0.008763,               0.008763
                     72,                0.89445,                 2.1913,                0.13286,                0.55252,                 1.3437,                0.82305,                0.82314,                 0.7017,                0.17622,                0.98997,                0.99008,                0.98806,                 0.5542,                 2.5957,                 1.6343,                0.06303,                0.82366,                 3.3466,              0.0087286,              0.0087286,              0.0087286
                     73,                0.89671,                 2.1775,                0.13251,                0.54852,                 1.3442,                0.79866,                0.79989,                0.73282,                0.21454,                0.99162,                0.99174,                0.98773,                0.57488,                 2.5653,                 1.5901,                0.04397,                 0.7844,                 3.2369,              0.0086937,              0.0086937,              0.0086937
                     74,                0.88669,                 2.1431,                0.13001,                0.54404,                 1.3395,                0.74537,                0.74545,                0.60156,                0.15144,                0.98832,                0.98843,                0.98035,                0.55611,                 2.7808,                 1.6513,                0.07384,                0.83709,                 3.7414,              0.0086584,              0.0086584,              0.0086584
                     75,                0.89534,                 2.1346,                0.13114,                0.54418,                 1.3414,                0.75693,                0.75702,                0.62991,                0.16266,                0.98665,                0.98678,                 0.9805,                0.55838,                 2.8263,                 1.6401,                0.07235,                0.79863,                 3.6575,              0.0086227,              0.0086227,              0.0086227
                     76,                0.88303,                 2.1307,                 0.1316,                0.53305,                 1.3333,                0.73876,                0.73884,                0.62675,                0.19061,                0.98501,                0.98512,                 0.9817,                 0.5988,                   2.85,                 1.6523,                0.07351,                0.78306,                  3.769,              0.0085866,              0.0085866,              0.0085866
                     77,                0.87709,                 2.1137,                0.13162,                0.53311,                 1.3287,                0.72553,                0.72562,                0.59213,                0.16964,                0.98501,                0.98512,                0.97891,                0.56976,                 2.8022,                  1.646,                0.07157,                0.80386,                 3.6825,              0.0085502,              0.0085502,              0.0085502
                     78,                0.88234,                 2.0998,                0.12729,                0.53634,                 1.3328,                0.77555,                0.77674,                0.68431,                0.20325,                0.98336,                0.98347,                0.97295,                 0.5556,                 2.7236,                 1.5827,                 0.0605,                0.76847,                 3.5618,              0.0085133,              0.0085133,              0.0085133
                     79,                0.88173,                  2.082,                0.12886,                0.54179,                 1.3372,                0.83791,                0.83802,                0.78246,                0.23119,                0.98666,                0.98678,                 0.9791,                0.56893,                 2.5201,                  1.577,                0.06091,                0.76957,                 3.2387,              0.0084761,              0.0084761,              0.0084761
                     80,                0.88257,                 2.0881,                0.12747,                 0.5362,                  1.337,                0.80486,                0.80496,                 0.7232,                0.20533,                0.98666,                0.98678,                0.97984,                0.57914,                 2.6988,                  1.584,                0.05366,                0.76096,                 3.5833,              0.0084385,              0.0084385,              0.0084385
                     81,                0.88016,                 2.0598,                0.12713,                 0.5371,                 1.3375,                0.79496,                0.79504,                0.74119,                0.21659,                0.98832,                0.98843,                0.98489,                0.59993,                 2.7771,                 1.5677,                0.05502,                0.81247,                 3.6516,              0.0084005,              0.0084005,              0.0084005
                     82,                0.86172,                 2.0414,                0.12654,                0.52842,                 1.3224,                0.79165,                0.79174,                0.71902,                0.23565,                0.98997,                0.99008,                0.98806,                0.61321,                 2.6648,                 1.5556,                0.05224,                0.79791,                 3.5675,              0.0083622,              0.0083622,              0.0083622
                     83,                0.86013,                  1.998,                0.12627,                 0.5259,                 1.3183,                0.78007,                0.78017,                0.67029,                0.18388,                0.98997,                0.99008,                0.98758,                0.56883,                 2.6802,                 1.5752,                0.05767,                0.78372,                 3.5321,              0.0083235,              0.0083235,              0.0083235
                     84,                0.85858,                 2.0043,                0.12431,                0.52757,                 1.3182,                0.79536,                0.79661,                0.75938,                0.25874,                0.98997,                0.99008,                 0.9864,                0.58416,                 2.6185,                 1.6079,                0.06806,                0.77701,                  3.416,              0.0082844,              0.0082844,              0.0082844
                     85,                0.86995,                 1.9804,                0.12445,                0.53055,                 1.3253,                0.77555,                0.77675,                0.69993,                0.20541,                0.98501,                0.98512,                0.97474,                0.58351,                 2.7164,                 1.5702,                0.06174,                 0.7997,                 3.6285,               0.008245,               0.008245,               0.008245
